batch_id,step,temp,humidity,temp_delta,unsafe_mins,damage,potency_pct,risk_score,status,scenario,will_breach_10min,anomaly_flag
0,0,5.188,47.2,0.1881,0,0.0,100.0,0.0,SAFE,power_failure,0,0
0,1,5.569,53.74,0.3814,0,0.0,100.0,0.0,SAFE,power_failure,1,0
0,2,5.493,58.52,-0.076,0,0.0,100.0,0.0,SAFE,power_failure,1,0
0,3,6.608,59.51,1.1148,0,0.0,100.0,0.0,SAFE,power_failure,1,0
0,4,6.472,56.48,-0.1367,0,0.0,100.0,0.0,SAFE,power_failure,1,0
0,5,6.755,54.8,0.2839,0,0.0,100.0,0.0,SAFE,power_failure,1,0
0,6,7.801,59.89,1.0455,0,0.0,100.0,0.0,SAFE,power_failure,1,0
0,7,8.577,53.59,0.7764,0,0.0,100.0,4.6,SAFE,power_failure,1,0
0,8,8.407,56.65,-0.1708,1,0.0869,99.4,4.2,SAFE,power_failure,1,0
0,9,9.665,53.37,1.2587,2,0.1718,98.82,15.2,SAFE,power_failure,1,0
0,10,8.652,57.46,-1.0134,3,0.2718,98.13,8.1,SAFE,power_failure,1,0
0,11,8.798,51.64,0.1464,4,0.3596,97.54,10.2,SAFE,power_failure,1,0
0,12,9.411,57.97,0.6126,5,0.4492,96.93,16.1,SAFE,power_failure,1,0
0,13,11.372,57.17,1.9611,6,0.5461,96.29,32.8,SAFE,power_failure,1,0
0,14,12.159,55.47,0.7874,7,0.6666,95.49,40.1,SAFE,power_failure,1,0
0,15,10.756,55.89,-1.4038,8,0.7965,94.63,30.0,SAFE,power_failure,1,0
0,16,10.613,56.16,-0.1424,9,0.9096,93.89,29.9,SAFE,power_failure,1,0
0,17,12.634,53.72,2.021,10,1.021,93.17,45.1,SAFE,power_failure,1,0
0,18,12.337,53.9,-0.2968,11,1.1566,92.3,45.9,SAFE,power_failure,1,0
0,19,11.071,58.87,-1.2665,12,1.2886,91.46,36.9,SAFE,power_failure,1,0
0,20,13.759,55.65,2.6884,13,1.4055,90.72,48.4,SAFE,power_failure,1,0
0,21,14.349,58.17,0.5893,14,1.5546,89.79,49.6,SAFE,power_failure,1,0
0,22,11.677,58.43,-2.6715,15,1.7108,88.82,45.3,SAFE,power_failure,0,0
0,23,13.994,50.47,2.3169,16,1.8349,88.06,51.9,WARNING,power_failure,0,0
0,24,12.649,55.57,-1.3447,17,1.9868,87.14,53.1,WARNING,power_failure,0,0
0,25,16.552,55.63,3.9023,18,2.1226,86.32,54.3,WARNING,power_failure,0,0
0,26,17.056,56.83,0.5046,19,2.3052,85.24,55.6,WARNING,power_failure,0,0
0,27,4.855,48.09,-12.2014,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,28,4.522,52.43,-0.3331,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,29,4.812,50.06,0.2906,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,30,5.192,52.23,0.3801,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,31,5.266,49.51,0.0739,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,32,4.831,49.6,-0.4355,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,33,4.325,42.76,-0.5056,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,34,4.471,45.01,0.1459,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,35,5.16,45.47,0.689,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,36,4.849,56.5,-0.3112,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,37,4.857,53.69,0.0088,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,38,4.627,48.97,-0.2309,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,39,4.62,48.3,-0.0066,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,40,5.336,41.36,0.7161,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,41,5.174,51.19,-0.1624,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,42,4.762,42.77,-0.4114,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,43,5.029,47.35,0.2665,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,44,5.093,50.11,0.0642,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,45,5.641,48.8,0.5476,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,46,4.591,50.9,-1.0501,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,47,5.088,56.8,0.4974,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,48,5.334,51.78,0.246,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,49,5.585,44.06,0.2513,20,2.4939,84.13,22.0,SAFE,stable,0,0
0,50,4.744,45.37,-0.8412,20,2.4939,84.13,22.0,SAFE,stable,1,0
0,51,4.844,43.12,0.1,20,2.4939,84.13,22.0,SAFE,stable,1,0
0,52,5.0,73.88,0.1559,20,2.4939,84.13,22.0,SAFE,door_open,1,0
0,53,5.927,89.48,0.9267,20,2.4939,84.13,30.0,SAFE,door_open,1,0
0,54,7.922,59.21,1.9956,20,2.4939,84.13,22.0,SAFE,door_open,1,0
0,55,8.126,69.51,0.2033,20,2.4939,84.13,23.0,SAFE,door_open,1,0
0,56,8.998,78.4,0.8728,21,2.5754,83.65,38.9,SAFE,door_open,0,0
0,57,9.537,65.79,0.5384,22,2.6674,83.12,36.2,SAFE,door_open,0,0
0,58,7.664,71.68,-1.8724,23,2.7658,82.56,24.9,SAFE,door_open,0,0
0,59,9.376,77.9,1.712,23,2.7658,82.56,43.9,SAFE,door_open,0,0
0,60,9.327,66.21,-0.0492,24,2.8623,82.01,36.5,SAFE,door_open,0,0
0,61,7.332,67.07,-1.9947,25,2.9582,81.46,26.8,SAFE,door_open,0,0
0,62,8.046,77.59,0.7134,25,2.9582,81.46,35.2,SAFE,door_open,0,0
0,63,6.506,71.76,-1.5397,26,3.0388,81.01,27.8,SAFE,door_open,0,0
0,64,6.63,69.27,0.1236,26,3.0388,81.01,27.8,SAFE,door_open,0,0
0,65,6.605,73.04,-0.0244,26,3.0388,81.01,27.8,SAFE,door_open,0,0
0,66,7.025,71.29,0.42,26,3.0388,81.01,27.8,SAFE,door_open,0,0
0,67,6.171,73.32,-0.8545,26,3.0388,81.01,27.8,SAFE,door_open,0,0
0,68,5.762,74.57,-0.4092,26,3.0388,81.01,27.8,SAFE,door_open,0,0
0,69,5.809,64.65,0.0475,26,3.0388,81.01,27.8,SAFE,door_open,0,0
0,70,4.985,82.34,-0.824,26,3.0388,81.01,35.8,SAFE,door_open,0,0
0,71,4.847,57.31,-0.1384,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,72,4.557,45.53,-0.2895,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,73,5.257,48.03,0.7001,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,74,4.998,49.18,-0.2594,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,75,5.135,57.04,0.1371,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,76,5.036,53.22,-0.0988,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,77,4.18,49.76,-0.8563,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,78,4.663,43.91,0.4828,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,79,4.649,48.33,-0.014,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,80,5.366,43.37,0.7176,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,81,5.012,47.58,-0.3541,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,82,4.869,55.01,-0.1433,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,83,5.215,56.69,0.3463,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,84,4.938,46.52,-0.277,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,85,4.91,51.21,-0.0277,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,86,5.071,44.58,0.1602,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,87,5.036,51.14,-0.0344,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,88,6.007,59.38,0.9708,26,3.0388,81.01,27.8,SAFE,stable,0,0
0,89,4.999,50.0,-1.0076,26,3.0388,81.01,42.8,SAFE,anomaly,0,1
0,90,-1.706,12.97,-6.7051,26,3.0388,81.01,62.8,WARNING,anomaly,0,1
0,91,26.188,90.08,27.8932,26,3.0388,81.01,85.8,CRITICAL,anomaly,0,1
0,92,4.999,48.0,-21.1881,27,3.3371,79.35,44.5,SAFE,anomaly,0,1
0,93,-3.481,13.67,-8.4802,27,3.3371,79.35,64.5,WARNING,anomaly,0,1
0,94,26.461,84.5,29.9418,27,3.3371,79.35,87.5,CRITICAL,anomaly,0,1
0,95,-2.54,13.17,-29.001,28,3.6386,77.71,66.4,WARNING,anomaly,0,1
0,96,4.499,50.0,7.0387,28,3.6386,77.71,46.4,SAFE,anomaly,0,1
0,97,-1.753,8.1,-6.2522,28,3.6386,77.71,66.4,WARNING,anomaly,0,1
0,98,4.501,50.0,6.2541,28,3.6386,77.71,46.4,SAFE,anomaly,1,1
0,99,24.765,82.19,20.2643,28,3.6386,77.71,89.4,CRITICAL,anomaly,1,1
0,100,-9.446,6.75,-34.2111,29,3.9198,76.21,68.1,WARNING,anomaly,1,1
0,101,22.961,91.23,32.4069,29,3.9198,76.21,91.1,CRITICAL,anomaly,1,1
0,102,5.0,72.0,-17.9609,30,4.1793,74.85,34.7,SAFE,door_open,1,0
0,103,6.407,71.42,1.407,30,4.1793,74.85,34.7,SAFE,door_open,1,0
0,104,7.749,74.32,1.342,30,4.1793,74.85,34.7,SAFE,door_open,1,0
0,105,7.717,73.57,-0.0316,30,4.1793,74.85,34.7,SAFE,door_open,1,0
0,106,8.754,73.58,1.0368,30,4.1793,74.85,40.8,SAFE,door_open,0,0
0,107,10.812,77.56,2.0579,31,4.2684,74.39,66.2,WARNING,door_open,0,0
0,108,8.656,69.17,-2.1561,32,4.3821,73.81,42.0,SAFE,door_open,0,0
0,109,9.37,70.25,0.7144,33,4.47,73.36,48.6,SAFE,door_open,0,0
0,110,7.48,72.92,-1.89,34,4.5664,72.87,38.7,SAFE,door_open,0,0
0,111,8.345,70.58,0.8644,34,4.5664,72.87,41.4,SAFE,door_open,0,0
0,112,6.97,69.77,-1.3743,35,4.6505,72.45,39.6,SAFE,door_open,0,0
0,113,6.245,82.36,-0.7255,35,4.6505,72.45,47.6,SAFE,door_open,0,0
0,114,6.587,70.03,0.3424,35,4.6505,72.45,39.6,SAFE,door_open,0,0
0,115,5.95,69.99,-0.637,35,4.6505,72.45,39.6,SAFE,door_open,0,0
0,116,7.091,82.39,1.1403,35,4.6505,72.45,47.6,SAFE,door_open,0,0
0,117,6.021,82.46,-1.0701,35,4.6505,72.45,47.6,SAFE,door_open,0,0
0,118,5.596,70.22,-0.4242,35,4.6505,72.45,39.6,SAFE,door_open,0,0
0,119,5.423,77.94,-0.1736,35,4.6505,72.45,47.6,SAFE,door_open,0,0
0,120,5.403,70.86,-0.0195,35,4.6505,72.45,39.6,SAFE,door_open,0,0
0,121,5.865,82.92,0.4619,35,4.6505,72.45,47.6,SAFE,door_open,0,0
0,122,5.181,71.6,-0.6838,35,4.6505,72.45,39.6,SAFE,door_open,0,0
0,123,5.222,81.07,0.0405,35,4.6505,72.45,47.6,SAFE,door_open,0,0
0,124,5.829,65.92,0.6073,35,4.6505,72.45,39.6,SAFE,door_open,0,0
0,125,5.266,67.97,-0.5632,35,4.6505,72.45,39.6,SAFE,door_open,1,0
0,126,4.862,78.93,-0.4036,35,4.6505,72.45,47.6,SAFE,door_open,1,0
0,127,4.929,73.83,0.0667,35,4.6505,72.45,39.6,SAFE,door_open,1,0
0,128,5.348,81.7,0.4193,35,4.6505,72.45,47.6,SAFE,door_open,1,0
